Symbol,Signal,RSI,Entry Time,Logged At,Reason,Outcome,RSI_Value,ADX_Value,Stochastic_Value,MACD_Value,Signal_Value,ATR_Value,Entry_Price,Exit_Price,Breakeven_Probability
USDCAD,BUY (Adaptive),59.52,09:00:04,2025-08-01 07:58:35,Цена ниже Bollinger; Пред. EMA12 > EMA26; ,PENDING,59.52377120362313,25.23250175028657,80.56497175141243,0.00043577017475060487,0.00038247196238344085,0.0007289460605258589,1.3869999647140503,0.0,69.9
CADJPY,SELL (Adaptive),37.69,09:00:05,2025-08-01 07:58:37,Цена выше Bollinger; Пред. EMA12 < EMA26; ,PENDING,37.69349014277555,35.87167013768734,25.71480472297911,-0.03638924818656619,-0.032509004191434786,0.05211501559888237,108.51200103759766,0.0,63.2
GBPUSD,BUY (Adaptive),40.15,09:00:07,2025-08-01 07:58:37,RSI перепродан; Цена ниже Bollinger; ,PENDING,40.14943675870267,18.12470536865092,26.931317700273777,-0.0002351477567827942,-0.00011263981026271415,0.0003535410120868311,1.3193135261535645,0.0,71.66
AUDUSD,SELL (Adaptive),45.06,09:00:07,2025-08-01 07:58:39,Цена выше Bollinger; Пред. EMA12 < EMA26; ,PENDING,45.05506758222221,18.79490426164072,39.27381745502998,-0.00015155718604276114,-0.0001584641835930949,0.0002256479436821977,0.6431488394737244,0.0,70.4
EURJPY,SELL (Adaptive),42.13,09:03:30,2025-08-01 08:02:01,MACD медвежий; Цена выше Bollinger; Пред. EMA12 < EMA26; ,PENDING,42.131610303307404,27.16418369306083,25.736987043474336,-0.03976444754331965,-0.02344994033656044,0.06923648997970214,171.91099548339844,0.0,40.84
EURUSD,BUY (Adaptive),39.97,09:03:31,2025-08-01 08:02:02,RSI перепродан; Цена ниже Bollinger; Пред. EMA12 > EMA26; ,PENDING,39.96724537893692,18.670884235526803,26.629740093736686,-0.0002318179169318313,-0.0001130664073646822,0.0002901998151071756,1.1422044038772583,0.0,33.17
CHFJPY,BUY (Adaptive),31.41,09:03:32,2025-08-01 08:02:03,Stochastic перепродан; Цена ниже Bollinger; ,PENDING,31.405032961661703,26.69116858743279,4.038224414303329,-0.07071241193503397,-0.039660813357256734,0.07929967133750367,184.73399353027344,0.0,26.09
USDCAD,BUY (Adaptive),57.85,09:03:33,2025-08-01 08:02:04,Цена ниже Bollinger; Пред. EMA12 > EMA26; ,PENDING,57.854769171956725,24.215619864099796,75.82485875706215,0.00040785884581029386,0.0003864008704896372,0.0007099955552640119,1.3868999481201172,0.0,40.05
CADJPY,SELL (Adaptive),46.02,09:03:34,2025-08-01 08:02:05,Цена выше Bollinger; Пред. EMA12 < EMA26; ,PENDING,46.02295611455724,35.137936647867,47.618528610354225,-0.03104147355300313,-0.03198405818095183,0.05134653041111542,108.55799865722656,0.0,34.59
GBPUSD,BUY (Adaptive),39.05,09:03:35,2025-08-01 08:02:08,RSI перепродан; Цена ниже Bollinger; ,PENDING,39.0480602760404,19.136211855146193,21.33980195387785,-0.0002498353394595476,-0.00013703194098942058,0.0003629586535010396,1.3191568851470947,0.0,31.11
